"blank","LotID","FullAddress","fixed"
,800,"3023 Red Knob Way, Heber City, UT 84032",No
,797,"3092 Red Knob Way, Heber City, UT 84032",No
,802,"3147 Red Knob Way, Heber City, UT 84032",No
,814,"3195 Red Knob Way, Heber City, UT 84032",No
,815,"3221 Red Knob Way, Heber City, UT 84032",No
,816,"3247 Red Knob Way, Heber City, UT 84032",No
,817,"3261 Red Knob Way, Heber City, UT 84032",No
,818,"3277 Red Knob Way, Heber City, UT 84032",No
,819,"3297 Red Knob Way, Heber City, UT 84032",No
,820,"3319 Red Knob Way, Heber City, UT 84032",No
,822,"3371 Red Knob Way, Heber City, UT 84032",No
,823,"3389 Red Knob Way, Heber City, UT 84032",No
,824,"3421 Red Knob Way, Heber City, UT 84032",No
,898,"3428 Red Knob Way, Heber City, UT 84032",No
,897,"3408 Red Knob Way, Heber City, UT 84032",No
,896,"3382 Red Knob Way, Heber City, UT 84032",No
,895,"3362 Red Knob Way, Heber City, UT 84032",No
,878,"3304 Red Knob Way, Heber City, UT 84032",No
,877,"3284 Red Knob Way, Heber City, UT 84032",No
,876,"3266 Red Knob Way, Heber City, UT 84032",No
,829,"3238 Red Knob Way, Heber City, UT 84032",No
,828,"3224 Red Knob Way, Heber City, UT 84032",No
,826,"3198 Red Knob Way, Heber City, UT 84032",No
