LotID,Address,,Latitude,Longitude,GeocodeStatus
141,240 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5091814,-111.3669524,Success
142,3050 E Corral Peak Circle,"[' Heber City', ' UT 84032']",40.5088134,-111.3653873,Success
143,3088 E Corral Peak Circle,"[' Heber City', ' UT 84032']",40.5087547,-111.3657128,Success
144,3090 E Corral Peak Circle,"[' Heber City', ' UT 84032']",40.5086692,-111.3653229,Success
145,3097 E Corral Peak Circle,"[' Heber City', ' UT 84032']",40.5085148,-111.3649444,Success
146,3081 E Corral Peak Circle,"[' Heber City', ' UT 84032']",40.5091029,-111.3650783,Success
147,3057 E Corral Peak Circle,"[' Heber City', ' UT 84032']",40.5094652,-111.3652279,Success
148,3035 E Corral Peak Circle,"[' Heber City', ' UT 84032']",40.5097565,-111.3653454,Success
149,280 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.51092,-111.3652809,Success
15,165 N Haystack Mountain Drive,"[' Heber City', ' UT 84032']",40.5097018,-111.3891944,Success
150,292 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5110849,-111.3646317,Success
151,304 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.510811,-111.364025,Success
152,312 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5110132,-111.3634501,Success
153,3226 E Horseshoe Canyon Circle,"[' Heber City', ' UT 84032']",40.511008,-111.3627645,Success
154,3290 E Horseshoe Canyon Circle,"[' Heber City', ' UT 84032']",40.510549,-111.362139,Success
155,3330 E Horseshoe Canyon Circle,"[' Heber City', ' UT 84032']",34.1149775,-118.3780159,Success
156,3336 E Horseshoe Canyon Circle,"[' Heber City', ' UT 84032']",40.5101227,-111.3610249,Success
157,3340 E Horseshoe Canyon Circle,"[' Heber City', ' UT 84032']",40.5104805,-111.3608835,Success
158,3335 E Horseshoe Canyon Circle,"[' Heber City', ' UT 84032']",40.510954,-111.3601569,Success
159,3311 E Horseshoe Canyon Circle,"[' Heber City', ' UT 84032']",40.5109317,-111.3612793,Success
16,191 N Haystack Mountain Drive,"[' Heber City', ' UT 84032']",40.5097018,-111.3891944,Success
160,3225 E Horseshoe Canyon Circle,"[' Heber City', ' UT 84032']",40.5112896,-111.3624353,Success
